sensor_id: 5, tipo: humo, valor: False, timestamp: 1716685169.1107514
sensor_id: 6, tipo: humo, valor: False, timestamp: 1716685169.1107514
sensor_id: 5, tipo: humo, valor: True, timestamp: 1716685175.1406214
sensor_id: 6, tipo: humo, valor: False, timestamp: 1716685174.136145
sensor_id: 5, tipo: humo, valor: True, timestamp: 1716685180.1469803
sensor_id: 6, tipo: humo, valor: True, timestamp: 1716685178.1484077
sensor_id: 6, tipo: humo, valor: False, timestamp: 1716685184.1597083
sensor_id: 7, tipo: humo, valor: False, timestamp: 1716685169.1306214
sensor_id: 7, tipo: humo, valor: False, timestamp: 1716685174.1519585
sensor_id: 7, tipo: humo, valor: False, timestamp: 1716685180.1617763
sensor_id: 7, tipo: humo, valor: True, timestamp: 1716685184.174672
sensor_id: 8, tipo: humo, valor: True, timestamp: 1716685169.1493046
sensor_id: 8, tipo: humo, valor: True, timestamp: 1716685174.183006
sensor_id: 8, tipo: humo, valor: False, timestamp: 1716685179.1854043
sensor_id: 10, tipo: humo, valor: False, timestamp: 1716685169.1904507
sensor_id: 10, tipo: humo, valor: True, timestamp: 1716685175.2016535
sensor_id: 10, tipo: humo, valor: False, timestamp: 1716685179.2165525
sensor_id: 10, tipo: humo, valor: False, timestamp: 1716685182.2211108
sensor_id: 9, tipo: humo, valor: True, timestamp: 1716685169.169181
sensor_id: 9, tipo: humo, valor: True, timestamp: 1716685174.1985266
sensor_id: 9, tipo: humo, valor: False, timestamp: 1716685178.2095637
sensor_id: 9, tipo: humo, valor: False, timestamp: 1716685182.2211108
sensor_id: 1, tipo: humo, valor: False, timestamp: 1716685168.9810357
sensor_id: 2, tipo: humo, valor: False, timestamp: 1716685168.999051
sensor_id: 1, tipo: humo, valor: True, timestamp: 1716685173.0355196
sensor_id: 2, tipo: humo, valor: False, timestamp: 1716685172.0246363
sensor_id: 1, tipo: humo, valor: False, timestamp: 1716685177.043705
sensor_id: 2, tipo: humo, valor: True, timestamp: 1716685178.0400941
sensor_id: 1, tipo: humo, valor: False, timestamp: 1716685180.053124
sensor_id: 2, tipo: humo, valor: False, timestamp: 1716685183.0539677
sensor_id: 1, tipo: humo, valor: False, timestamp: 1716685184.0669885
sensor_id: 3, tipo: humo, valor: False, timestamp: 1716685169.0167274
sensor_id: 3, tipo: humo, valor: False, timestamp: 1716685174.0893137
sensor_id: 3, tipo: humo, valor: False, timestamp: 1716685177.091049
sensor_id: 3, tipo: humo, valor: True, timestamp: 1716685183.0998704
sensor_id: 4, tipo: humo, valor: True, timestamp: 1716685169.0356207
sensor_id: 4, tipo: humo, valor: False, timestamp: 1716685175.0936704
sensor_id: 4, tipo: humo, valor: False, timestamp: 1716685179.107114
sensor_id: 4, tipo: humo, valor: True, timestamp: 1716685182.1119726
sensor_id: 4, tipo: humo, valor: True, timestamp: 1716685185.1229212
sensor_id: 5, tipo: humo, valor: False, timestamp: 1716685185.1533997
sensor_id: 8, tipo: humo, valor: False, timestamp: 1716685185.201081
sensor_id: 10, tipo: humo, valor: False, timestamp: 1716685185.2318547
sensor_id: 1, tipo: humo, valor: True, timestamp: 1716685187.0693023
sensor_id: 2, tipo: humo, valor: False, timestamp: 1716685187.0693023
sensor_id: 9, tipo: humo, valor: True, timestamp: 1716685187.225655
sensor_id: 4, tipo: humo, valor: True, timestamp: 1716685188.1299813
sensor_id: 8, tipo: humo, valor: True, timestamp: 1716685188.2086198
sensor_id: 3, tipo: humo, valor: True, timestamp: 1716685189.1116142
sensor_id: 6, tipo: humo, valor: True, timestamp: 1716685189.1739097
sensor_id: 7, tipo: humo, valor: False, timestamp: 1716685189.1899812
sensor_id: 4, tipo: humo, valor: True, timestamp: 1716685191.131935
sensor_id: 5, tipo: humo, valor: False, timestamp: 1716685191.1632516
sensor_id: 10, tipo: humo, valor: False, timestamp: 1716685191.2404478
sensor_id: 1, tipo: humo, valor: True, timestamp: 1716685192.0801334
sensor_id: 9, tipo: humo, valor: True, timestamp: 1716685192.2335484
sensor_id: 2, tipo: humo, valor: False, timestamp: 1716685193.0853105
sensor_id: 3, tipo: humo, valor: True, timestamp: 1716685193.1155713
sensor_id: 6, tipo: humo, valor: True, timestamp: 1716685193.1774848
sensor_id: 7, tipo: humo, valor: False, timestamp: 1716685193.193013
sensor_id: 8, tipo: humo, valor: False, timestamp: 1716685194.210993
sensor_id: 9, tipo: humo, valor: False, timestamp: 1716685195.2370844
sensor_id: 1, tipo: humo, valor: True, timestamp: 1716685196.0894358
sensor_id: 2, tipo: humo, valor: True, timestamp: 1716685196.0894358
sensor_id: 5, tipo: humo, valor: False, timestamp: 1716685196.167713
sensor_id: 4, tipo: humo, valor: False, timestamp: 1716685197.1477249
sensor_id: 6, tipo: humo, valor: True, timestamp: 1716685197.1802473
sensor_id: 7, tipo: humo, valor: True, timestamp: 1716685197.195765
sensor_id: 10, tipo: humo, valor: True, timestamp: 1716685197.242477
sensor_id: 3, tipo: humo, valor: True, timestamp: 1716685198.1236029
sensor_id: 8, tipo: humo, valor: False, timestamp: 1716685198.215876
sensor_id: 9, tipo: humo, valor: True, timestamp: 1716685198.2465901
sensor_id: 2, tipo: humo, valor: True, timestamp: 1716685200.1034863
sensor_id: 1, tipo: humo, valor: False, timestamp: 1716685201.0985818
sensor_id: 5, tipo: humo, valor: True, timestamp: 1716685201.1753294
sensor_id: 7, tipo: humo, valor: False, timestamp: 1716685201.206246
sensor_id: 9, tipo: humo, valor: False, timestamp: 1716685201.252089
sensor_id: 3, tipo: humo, valor: False, timestamp: 1716685202.1375573
sensor_id: 6, tipo: humo, valor: True, timestamp: 1716685202.1837542
sensor_id: 4, tipo: humo, valor: True, timestamp: 1716685203.1576316
sensor_id: 10, tipo: humo, valor: True, timestamp: 1716685203.2506113
sensor_id: 1, tipo: humo, valor: True, timestamp: 1716685204.100829
sensor_id: 8, tipo: humo, valor: False, timestamp: 1716685204.2252688
sensor_id: 2, tipo: humo, valor: False, timestamp: 1716685205.1061022
sensor_id: 5, tipo: humo, valor: True, timestamp: 1716685205.18348
sensor_id: 7, tipo: humo, valor: True, timestamp: 1716685205.2149565
sensor_id: 10, tipo: humo, valor: True, timestamp: 1716685206.2518036
sensor_id: 3, tipo: humo, valor: False, timestamp: 1716685207.1519551
sensor_id: 8, tipo: humo, valor: True, timestamp: 1716685207.2287178
sensor_id: 9, tipo: humo, valor: True, timestamp: 1716685207.2596955
